,Data,N,Out,DEA,Enrichment,Library,FDR,median_mcc,median_mcc_common,median_prec,median_prec_common,median_rec,median_rec_common,median_rep,median_rep_common,median_terms,median_terms_common,id
0,BRCA,3,None,DESeq2,clusterORA.fdr0.05.post_lfc0.lfc0,GO_Biological_Process_2021,0.05,0.20069284976237028,0.1572556022085771,0.48086673586713513,0.6789799580256012,0.28129346314325454,0.3510773130544994,0.378827646544182,0.44842105263157894,853.0,422.0,0
1,BRCA,3,None,DESeq2,clusterORA.fdr0.05.post_lfc0.lfc0,KEGG_2021_Human,0.05,0.01175745442250487,0.007589172076752928,0.22777777777777777,0.2361111111111111,0.057971014492753624,0.09302325581395349,0.21428571428571427,0.23728813559322035,17.5,18.0,0
2,BRCA,3,None,DESeq2,clusterORA.fdr0.05.post_lfc1.lfc0,GO_Biological_Process_2021,0.05,0.575492564278776,0.5799147238236353,0.7817806884653514,0.8275710138917687,0.5682403433476395,0.6051660516605166,0.38091603053435114,0.44966442953020136,851.5,422.0,0
3,BRCA,3,None,DESeq2,clusterORA.fdr0.05.post_lfc1.lfc0,KEGG_2021_Human,0.05,0.44217798265401687,0.4308781762583396,0.6821052631578948,0.7616632860040567,0.36363636363636365,0.3611111111111111,0.21875,0.24390243902439024,18.5,18.5,0
4,BRCA,3,None,DESeq2,clusterORA_lfc.fdr0.05.post_lfc1.lfc1,GO_Biological_Process_2021,0.05,0.37900323868129154,0.3800773912426245,0.84,0.8901712660497516,0.25411334552102377,0.28260869565217395,0.15644820295983086,0.18316831683168316,335.0,167.5,0
5,BRCA,3,None,DESeq2,clusterORA_lfc.fdr0.05.post_lfc1.lfc1,KEGG_2021_Human,0.05,0.3414341636671697,0.3253221431303978,0.7361111111111112,0.8666666666666667,0.18181818181818182,0.1511627906976744,0.125,0.14285714285714285,8.0,7.0,0
6,BRCA,3,None,DESeq2,gseapy,GO_Biological_Process_2021,0.05,0.49455584656236995,0.5473805267584115,0.6861052631578948,0.6707641345742164,0.4318181818181818,0.5408921933085502,0.252442996742671,0.33436532507739936,270.0,208.0,0
7,BRCA,3,None,DESeq2,gseapy,KEGG_2021_Human,0.05,0.47095613209526455,0.4939340873329767,0.643796992481203,0.7192192192192193,0.5416666666666666,0.5317460317460317,0.2903225806451613,0.3333333333333333,58.5,52.5,0
8,BRCA,3,None,DESeq2,gseapy_s2n,GO_Biological_Process_2021,0.05,,,,,,,,,,,0
9,BRCA,3,None,DESeq2,gseapy_s2n,KEGG_2021_Human,0.05,,,,,,,,,,,0
10,BRCA,3,None,edgeR QLF,clusterORA.fdr0.05.post_lfc0.lfc0,GO_Biological_Process_2021,0.05,0.14796572119621926,0.10677247583843444,0.5009350163627864,0.7339449541284404,0.0,0.0,0.0,0.0,0.0,0.0,0
11,BRCA,3,None,edgeR QLF,clusterORA.fdr0.05.post_lfc0.lfc0,KEGG_2021_Human,0.05,-0.022569752481242503,-0.024279426034239056,0.1515151515151515,0.18823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0
12,BRCA,3,None,edgeR QLF,clusterORA.fdr0.05.post_lfc1.lfc0,GO_Biological_Process_2021,0.05,0.2844616295101473,0.2536353021993851,0.7955848580249729,0.8395989974937343,0.0,0.0,0.0,0.0,0.0,0.0,0
13,BRCA,3,None,edgeR QLF,clusterORA.fdr0.05.post_lfc1.lfc0,KEGG_2021_Human,0.05,0.23451832109862308,0.2652119901538746,0.5147058823529411,0.5741176470588236,0.0,0.0,0.0,0.0,0.0,0.0,0
